nv;Datetime;sg1_P;sg1_Q;sg1_Ep;sg1_Eq
0;2024-01-01 00:15:00;7.129474958;0;0;0
1;2024-01-01 00:30:00;6.456810132;0;1.698285636;0
2;2024-01-01 00:45:00;5.537968421;0;1.499347319;0
3;2024-01-01 01:00:00;5.447631027;0;1.373199931;0
4;2024-01-01 01:15:00;5.543981505;0;1.373951566;0
5;2024-01-01 01:30:00;5.575548081;0;1.389941198;0
6;2024-01-01 01:45:00;6.077613011;0;1.456645136;0
7;2024-01-01 02:00:00;5.529153476;0;1.450845811;0
8;2024-01-01 02:15:00;5.689865905;0;1.402377423;0
9;2024-01-01 02:30:00;5.846764436;0;1.442078793;0
10;2024-01-01 02:45:00;5.769152845;0;1.45198966;0
11;2024-01-01 03:00:00;5.743268109;0;1.439052619;0
12;2024-01-01 03:15:00;5.753407832;0;1.437084493;0
13;2024-01-01 03:30:00;5.683923112;0;1.429666368;0
14;2024-01-01 03:45:00;5.610275076;0;1.411774773;0
15;2024-01-01 04:00:00;5.740946432;0;1.418902688;0
16;2024-01-01 04:15:00;5.997266914;0;1.467276668;0
17;2024-01-01 04:30:00;5.708667643;0;1.46324182;0
18;2024-01-01 04:45:00;5.9602251;0;1.458611593;0
19;2024-01-01 05:00:00;6.054946064;0;1.501896395;0
20;2024-01-01 05:15:00;6.031268473;0;1.510776817;0
21;2024-01-01 05:30:00;5.702606651;0;1.466734391;0
22;2024-01-01 05:45:00;9.664796612;0;1.920925408;0
23;2024-01-01 06:00:00;10.6037518;0;2.533568552;0
24;2024-01-01 06:15:00;10.20586289;0;2.601201837;0
25;2024-01-01 06:30:00;10.16683906;0;2.546587744;0
26;2024-01-01 06:45:00;10.56104531;0;2.590985547;0
27;2024-01-01 07:00:00;10.45076184;0;2.626475894;0
28;2024-01-01 07:15:00;10.31350861;0;2.595533806;0
29;2024-01-01 07:30:00;10.35986701;0;2.584171953;0
30;2024-01-01 07:45:00;10.0555798;0;2.551930851;0
31;2024-01-01 08:00:00;8.901716725;0;2.369662065;0
32;2024-01-01 08:15:00;7.937492108;0;2.104901104;0
33;2024-01-01 08:30:00;7.883163136;0;1.977581906;0
34;2024-01-01 08:45:00;7.756018826;0;1.954897745;0
35;2024-01-01 09:00:00;7.814923683;0;1.946367814;0
36;2024-01-01 09:15:00;7.916327718;0;1.966406425;0
37;2024-01-01 09:30:00;7.809848201;0;1.96577199;0
38;2024-01-01 09:45:00;7.83586463;0;1.955714104;0
39;2024-01-01 10:00:00;7.723298432;0;1.944895383;0
40;2024-01-01 10:15:00;7.709307506;0;1.929075742;0
41;2024-01-01 10:30:00;7.716673481;0;1.928247623;0
42;2024-01-01 10:45:00;7.736597517;0;1.931658875;0
43;2024-01-01 11:00:00;7.601893923;0;1.91731143;0
44;2024-01-01 11:15:00;7.761317355;0;1.92040141;0
45;2024-01-01 11:30:00;7.675456202;0;1.929596695;0
46;2024-01-01 11:45:00;7.641952424;0;1.914676078;0
47;2024-01-01 12:00:00;8.139955419;0;1.97273848;0
48;2024-01-01 12:15:00;7.702181725;0;1.980267143;0
49;2024-01-01 12:30:00;7.704030848;0;1.925776572;0
50;2024-01-01 12:45:00;7.868728863;0;1.946594964;0
51;2024-01-01 13:00:00;7.420889378;0;1.91120228;0
52;2024-01-01 13:15:00;7.520333622;0;1.867652875;0
53;2024-01-01 13:30:00;7.814932957;0;1.916908322;0
54;2024-01-01 13:45:00;7.680495182;0;1.936928517;0
55;2024-01-01 14:00:00;7.59785231;0;1.909793437;0
56;2024-01-01 14:15:00;7.74667509;0;1.918065925;0
57;2024-01-01 14:30:00;7.565464518;0;1.914017451;0
58;2024-01-01 14:45:00;7.859562582;0;1.928128388;0
59;2024-01-01 15:00:00;7.816317939;0;1.959485065;0
60;2024-01-01 15:15:00;7.802855754;0;1.952396712;0
61;2024-01-01 15:30:00;7.825306882;0;1.953520329;0
62;2024-01-01 15:45:00;7.853788531;0;1.959886927;0
63;2024-01-01 16:00:00;7.648000953;0;1.937723686;0
64;2024-01-01 16:15:00;7.689143985;0;1.917143117;0
65;2024-01-01 16:30:00;7.677279328;0;1.920802914;0
66;2024-01-01 16:45:00;7.5663408;0;1.905452516;0
67;2024-01-01 17:00:00;7.597985845;0;1.895540831;0
68;2024-01-01 17:15:00;7.989415458;0;1.948425163;0
69;2024-01-01 17:30:00;7.561145504;0;1.94382012;0
70;2024-01-01 17:45:00;8.136798269;0;1.962242972;0
71;2024-01-01 18:00:00;8.430899336;0;2.070962201;0
72;2024-01-01 18:15:00;8.514419352;0;2.118164836;0
73;2024-01-01 18:30:00;8.592233294;0;2.138331581;0
74;2024-01-01 18:45:00;8.77404259;0;2.170784485;0
75;2024-01-01 19:00:00;8.743659512;0;2.189712763;0
76;2024-01-01 19:15:00;8.688515144;0;2.179021832;0
77;2024-01-01 19:30:00;8.653682934;0;2.16777476;0
78;2024-01-01 19:45:00;8.655419668;0;2.163637825;0
79;2024-01-01 20:00:00;8.627577975;0;2.160374705;0
80;2024-01-01 20:15:00;7.339020188;0;1.99582477;0
81;2024-01-01 20:30:00;6.903221505;0;1.780280212;0
82;2024-01-01 20:45:00;6.889508221;0;1.724091216;0
83;2024-01-01 21:00:00;6.439143588;0;1.666081476;0
84;2024-01-01 21:15:00;5.382711764;0;1.477731919;0
85;2024-01-01 21:30:00;5.51310012;0;1.361976486;0
86;2024-01-01 21:45:00;5.549511337;0;1.382826432;0
87;2024-01-01 22:00:00;5.55076583;0;1.387534646;0
88;2024-01-01 22:15:00;6.04374323;0;1.449313633;0
89;2024-01-01 22:30:00;5.809292852;0;1.48162951;0
90;2024-01-01 22:45:00;5.745803035;0;1.444386986;0
91;2024-01-01 23:00:00;5.701121384;0;1.430865552;0
92;2024-01-01 23:15:00;5.824766047;0;1.440735929;0
93;2024-01-01 23:30:00;5.803531866;0;1.453537239;0
94;2024-01-01 23:45:00;5.683808112;0;1.435917497;0
95;2024-01-02 00:00:00;5.874352509;0;1.444770078;0
96;2024-01-02 00:15:00;5.796431769;0;1.458848035;0
97;2024-01-02 00:30:00;5.922221141;0;1.464831614;0
98;2024-01-02 00:45:00;5.915489165;0;1.479713788;0
99;2024-01-02 01:00:00;5.905298656;0;1.477598478;0
100;2024-01-02 01:15:00;5.720451198;0;1.453218732;0
101;2024-01-02 01:30:00;5.783206838;0;1.437957254;0
102;2024-01-02 01:45:00;5.876055926;0;1.457407846;0
103;2024-01-02 02:00:00;5.9961929;0;1.484031103;0
104;2024-01-02 02:15:00;5.881706875;0;1.484737472;0
105;2024-01-02 02:30:00;5.960973815;0;1.480335086;0
106;2024-01-02 02:45:00;6.148137494;0;1.513638914;0
107;2024-01-02 03:00:00;5.917316892;0;1.508181798;0
108;2024-01-02 03:15:00;6.400503126;0;1.539727502;0
109;2024-01-02 03:30:00;6.226395819;0;1.578362368;0
110;2024-01-02 03:45:00;6.235955313;0;1.557793892;0
111;2024-01-02 04:00:00;6.176835532;0;1.551598856;0
112;2024-01-02 04:15:00;6.222616764;0;1.549931537;0
113;2024-01-02 04:30:00;6.159586489;0;1.547775407;0
114;2024-01-02 04:45:00;6.214514304;0;1.546762599;0
115;2024-01-02 05:00:00;6.357322136;0;1.571479555;0
116;2024-01-02 05:15:00;6.526415412;0;1.610467194;0
117;2024-01-02 05:30:00;6.901248043;0;1.678457932;0
118;2024-01-02 05:45:00;10.24602983;0;2.143409734;0
119;2024-01-02 06:00:00;18.35156024;0;3.574698759;0
120;2024-01-02 06:15:00;55.3669913;0;9.214818943;0
121;2024-01-02 06:30:00;88.48329634;0;17.98128596;0
122;2024-01-02 06:45:00;110.7197219;0;24.90037728;0
123;2024-01-02 07:00:00;116.1894716;0;28.36364919;0
124;2024-01-02 07:15:00;105.3971545;0;27.69832825;0
125;2024-01-02 07:30:00;107.7576646;0;26.64435239;0
126;2024-01-02 07:45:00;118.3260635;0;28.26046602;0
127;2024-01-02 08:00:00;97.9095576;0;27.02945264;0
128;2024-01-02 08:15:00;105.9227814;0;25.47904237;0
129;2024-01-02 08:30:00;129.3031871;0;29.40324605;0
130;2024-01-02 08:45:00;98.63135846;0;28.49181819;0
131;2024-01-02 09:00:00;88.49869503;0;23.39125669;0
132;2024-01-02 09:15:00;94.25975105;0;22.84480576;0
133;2024-01-02 09:30:00;93.89598978;0;23.5194676;0
134;2024-01-02 09:45:00;105.0817618;0;24.87221895;0
135;2024-01-02 10:00:00;91.52187202;0;24.57545423;0
136;2024-01-02 10:15:00;92.76129057;0;23.03539532;0
137;2024-01-02 10:30:00;87.67720846;0;22.55481238;0
138;2024-01-02 10:45:00;89.66374549;0;22.16761924;0
139;2024-01-02 11:00:00;93.76486472;0;22.92857628;0
140;2024-01-02 11:15:00;107.2267447;0;25.12395117;0
141;2024-01-02 11:30:00;105.000071;0;26.52835196;0
142;2024-01-02 11:45:00;109.8056088;0;26.85070997;0
143;2024-01-02 12:00:00;109.6841348;0;27.43621794;0
144;2024-01-02 12:15:00;104.6849041;0;26.79612986;0
145;2024-01-02 12:30:00;99.98937124;0;25.58428442;0
146;2024-01-02 12:45:00;96.35587731;0;24.54315607;0
147;2024-01-02 13:00:00;99.0200053;0;24.42198533;0
148;2024-01-02 13:15:00;97.0667218;0;24.51084089;0
149;2024-01-02 13:30:00;108.6157632;0;25.71031063;0
150;2024-01-02 13:45:00;103.4879965;0;26.51296997;0
151;2024-01-02 14:00:00;102.4818833;0;25.74623498;0
152;2024-01-02 14:15:00;96.59186074;0;24.884218;0
153;2024-01-02 14:30:00;100.819938;0;24.67647484;0
154;2024-01-02 14:45:00;86.61872796;0;23.42983324;0
155;2024-01-02 15:00:00;87.63760282;0;21.78204135;0
156;2024-01-02 15:15:00;82.59066725;0;21.27853376;0
157;2024-01-02 15:30:00;61.12677979;0;17.96468088;0
158;2024-01-02 15:45:00;79.74101424;0;17.60847425;0
159;2024-01-02 16:00:00;98.43841154;0;22.27242822;0
160;2024-01-02 16:15:00;101.9989484;0;25.05467;0
161;2024-01-02 16:30:00;79.2202484;0;22.6523996;0
162;2024-01-02 16:45:00;71.30606675;0;18.81578939;0
163;2024-01-02 17:00:00;83.21986173;0;19.31574106;0
164;2024-01-02 17:15:00;63.08147366;0;18.28766692;0
165;2024-01-02 17:30:00;83.9536345;0;18.37938852;0
166;2024-01-02 17:45:00;82.98289138;0;20.86706574;0
167;2024-01-02 18:00:00;81.90529731;0;20.61102359;0
168;2024-01-02 18:15:00;86.48853619;0;21.04922919;0
169;2024-01-02 18:30:00;62.53850097;0;18.62837964;0
170;2024-01-02 18:45:00;76.26504911;0;17.35044376;0
171;2024-01-02 19:00:00;64.12823628;0;17.54916067;0
172;2024-01-02 19:15:00;68.88671718;0;16.62686918;0
173;2024-01-02 19:30:00;70.60345845;0;17.43627195;0
174;2024-01-02 19:45:00;76.3147331;0;18.36477394;0
175;2024-01-02 20:00:00;56.28063026;0;16.57442042;0
176;2024-01-02 20:15:00;63.28319695;0;14.9454784;0
177;2024-01-02 20:30:00;60.85823989;0;15.51767961;0
178;2024-01-02 20:45:00;68.82216293;0;16.21005035;0
179;2024-01-02 21:00:00;75.97263285;0;18.09934947;0
180;2024-01-02 21:15:00;73.74165121;0;18.71428551;0
181;2024-01-02 21:30:00;73.996111;0;18.46722028;0
182;2024-01-02 21:45:00;55.19662062;0;16.14909145;0
183;2024-01-02 22:00:00;71.74482046;0;15.86768013;0
184;2024-01-02 22:15:00;71.32156372;0;17.88329802;0
185;2024-01-02 22:30:00;61.62890946;0;16.61880915;0
186;2024-01-02 22:45:00;57.97052332;0;14.9499291;0
187;2024-01-02 23:00:00;42.804024;0;12.59681841;0
188;2024-01-02 23:15:00;45.96294352;0;11.09587094;0
189;2024-01-02 23:30:00;44.25863122;0;11.27769684;0
190;2024-01-02 23:45:00;43.94213583;0;11.02509588;0
191;2024-01-03 00:00:00;29.91230309;0;9.231804865;0
192;2024-01-03 00:15:00;42.31179703;0;9.028012514;0
193;2024-01-03 00:30:00;46.42098698;0;11.091598;0
194;2024-01-03 00:45:00;57.15142141;0;12.94655105;0
195;2024-01-03 01:00:00;71.49530419;0;16.0808407;0
196;2024-01-03 01:15:00;70.22801172;0;17.71541449;0
197;2024-01-03 01:30:00;71.4370581;0;17.70813373;0
198;2024-01-03 01:45:00;50.47360844;0;15.23883332;0
199;2024-01-03 02:00:00;27.78050024;0;9.781763585;0
200;2024-01-03 02:15:00;32.17700682;0;7.494688382;0
201;2024-01-03 02:30:00;41.39677734;0;9.196723019;0
202;2024-01-03 02:45:00;44.54269687;0;10.74243428;0
203;2024-01-03 03:00:00;35.93846332;0;10.06014502;0
204;2024-01-03 03:15:00;23.74762158;0;7.460760612;0
205;2024-01-03 03:30:00;25.09241897;0;6.105005068;0
206;2024-01-03 03:45:00;42.07830761;0;8.396340822;0
207;2024-01-03 04:00:00;37.31064294;0;9.923618819;0
208;2024-01-03 04:15:00;39.56688;0;9.609690368;0
209;2024-01-03 04:30:00;50.0105693;0;11.19718116;0
210;2024-01-03 04:45:00;33.69055924;0;10.46264107;0
211;2024-01-03 05:00:00;48.73115595;0;10.3027144;0
212;2024-01-03 05:15:00;35.13979989;0;10.48386948;0
213;2024-01-03 05:30:00;39.0678665;0;9.2759583;0
214;2024-01-03 05:45:00;31.94406261;0;8.876491139;0
215;2024-01-03 06:00:00;53.32026545;0;10.65804101;0
216;2024-01-03 06:15:00;86.65324423;0;17.49668871;0
217;2024-01-03 06:30:00;109.9320893;0;24.57316669;0
218;2024-01-03 06:45:00;116.4002478;0;28.29154214;0
219;2024-01-03 07:00:00;111.6843002;0;28.5105685;0
220;2024-01-03 07:15:00;115.3578752;0;28.38027192;0
221;2024-01-03 07:30:00;121.7431289;0;29.63762551;0
222;2024-01-03 07:45:00;122.1903714;0;30.49168754;0
223;2024-01-03 08:00:00;100.7000221;0;27.86129918;0
224;2024-01-03 08:15:00;93.42763099;0;24.26595663;0
225;2024-01-03 08:30:00;113.0677158;0;25.81191836;0
226;2024-01-03 08:45:00;94.76040243;0;25.97851478;0
227;2024-01-03 09:00:00;105.7304015;0;25.0613505;0
228;2024-01-03 09:15:00;112.025665;0;27.21950832;0
229;2024-01-03 09:30:00;116.4514676;0;28.55964158;0
230;2024-01-03 09:45:00;107.3423044;0;27.9742215;0
231;2024-01-03 10:00:00;104.9763296;0;26.53982924;0
232;2024-01-03 10:15:00;104.9553716;0;26.24146264;0
233;2024-01-03 10:30:00;83.94816967;0;23.61294265;0
234;2024-01-03 10:45:00;88.05651298;0;21.50058533;0
235;2024-01-03 11:00:00;86.41860894;0;21.80939024;0
236;2024-01-03 11:15:00;93.74364574;0;22.52028184;0
237;2024-01-03 11:30:00;106.9885824;0;25.09152852;0
238;2024-01-03 11:45:00;99.01970201;0;25.75103555;0
239;2024-01-03 12:00:00;99.32072046;0;24.79255281;0
240;2024-01-03 12:15:00;117.3934394;0;27.08926998;0
241;2024-01-03 12:30:00;128.0162842;0;30.67621545;0
242;2024-01-03 12:45:00;116.8747104;0;30.61137433;0
243;2024-01-03 13:00:00;105.7138717;0;27.82357277;0
244;2024-01-03 13:15:00;91.86282141;14.54889588;24.69708664;1.818611985
245;2024-01-03 13:30:00;125.2117491;40.44897596;27.13432132;6.87473398
246;2024-01-03 13:45:00;137.1751724;45.41749575;32.79836519;10.73330896
247;2024-01-03 14:00:00;113.9293443;40.29599796;31.38806458;10.71418671
248;2024-01-03 14:15:00;98.67250883;38.10596076;26.57523164;9.80024484
249;2024-01-03 14:30:00;101.6336425;37.49268118;25.03826891;9.449830243
250;2024-01-03 14:45:00;88.95988121;34.7943777;23.82419046;9.03588236
251;2024-01-03 15:00:00;90.42567255;32.76039214;22.42319422;8.44434623
252;2024-01-03 15:15:00;80.07646239;32.58994867;21.31276687;8.168792601
253;2024-01-03 15:30:00;82.42291234;31.61788432;20.31242184;8.025979125
254;2024-01-03 15:45:00;87.09777969;33.635941;21.1900865;8.156728165
255;2024-01-03 16:00:00;77.88693554;33.13739434;20.6230894;8.346666917
256;2024-01-03 16:15:00;79.77862583;29.75124612;19.70819517;7.861080058
257;2024-01-03 16:30:00;62.48649877;22.75006567;17.78314058;6.562663974
258;2024-01-03 16:45:00;63.34341362;25.97484421;15.72873905;6.090613735
259;2024-01-03 17:00:00;71.55289446;26.48157815;16.86203851;6.557052795
260;2024-01-03 17:15:00;81.79672288;28.1502889;19.16870217;6.828983381
261;2024-01-03 17:30:00;86.8219515;27.15014374;21.0773343;6.912554081
262;2024-01-03 17:45:00;58.36908122;21.29010715;18.14887909;6.055031361
263;2024-01-03 18:00:00;54.78920206;19.97814691;14.14478541;5.158531758
264;2024-01-03 18:15:00;48.13075123;19.51486649;12.86499416;4.936626675
265;2024-01-03 18:30:00;45.20519666;16.10083787;11.66699349;4.451963045
266;2024-01-03 18:45:00;52.59739537;20.35016354;12.225324;4.556375177
267;2024-01-03 19:00:00;54.4044916;21.68111932;13.37523587;5.253910358
268;2024-01-03 19:15:00;76.01477725;26.15344339;16.30240861;5.979320339
269;2024-01-03 19:30:00;67.9477302;26.07675933;17.99531343;6.52877534
270;2024-01-03 19:45:00;51.4132582;20.29447273;14.92012355;5.796404007
271;2024-01-03 20:00:00;64.59596445;25.42607297;14.50115283;5.715068212
272;2024-01-03 20:15:00;54.2315814;21.55285748;14.85344323;5.872366307
273;2024-01-03 20:30:00;49.89183314;20.11240309;13.01542682;5.208157572
274;2024-01-03 20:45:00;50.63875593;22.37878258;12.56632363;5.311398209
275;2024-01-03 21:00:00;49.00454254;21.10871494;12.45541231;5.43593719
276;2024-01-03 21:15:00;71.12327074;28.31162648;15.01597666;6.177542677
277;2024-01-03 21:30:00;70.52406993;28.19965425;17.70591758;6.640479636
278;2024-01-03 21:45:00;66.84368116;28.08768203;17.17096889;7.008962426
279;2024-01-03 22:00:00;75.72355549;31.46389143;17.82090458;7.443946682
280;2024-01-03 22:15:00;63.66946317;33.11058662;17.42412733;8.071809755
281;2024-01-03 22:30:00;61.67744339;28.32934677;15.66836332;7.679991674
282;2024-01-03 22:45:00;57.89725258;27.22271746;14.946837;6.944008029
283;2024-01-03 23:00:00;43.17709063;21.48407737;12.6342929;6.088349353
284;2024-01-03 23:15:00;63.75531207;28.25834486;13.36655034;6.217802779
285;2024-01-03 23:30:00;58.40858339;28.78700949;15.27048693;7.130669294
286;2024-01-03 23:45:00;49.60482008;22.77420446;13.50167543;6.445151743
287;2024-01-04 00:00:00;46.47199902;20.8542818;12.00960239;5.453560782
288;2024-01-04 00:15:00;40.3166823;17.62877037;10.84858517;4.810381521
289;2024-01-04 00:30:00;43.5620768;17.89004007;10.48484489;4.439851304
290;2024-01-04 00:45:00;48.8581341;23.09491114;11.55252636;5.123118901
291;2024-01-04 01:00:00;44.00467635;20.82857781;11.60785131;5.490436118
292;2024-01-04 01:15:00;47.73125107;19.95307302;11.46699093;5.097706354
293;2024-01-04 01:30:00;33.92557862;15.63900488;10.20710371;4.449009738
294;2024-01-04 01:45:00;58.29299759;22.1188801;11.52732203;4.719735622
295;2024-01-04 02:00:00;26.00971123;5.964617491;10.5378386;3.510437199
296;2024-01-04 02:15:00;30.41343528;11.37977425;7.052893314;2.168048968
297;2024-01-04 02:30:00;39.43802587;16.65598505;8.731432644;3.504469913
298;2024-01-04 02:45:00;38.37925178;18.12478163;9.727159706;4.347595834
299;2024-01-04 03:00:00;48.80850588;21.01843829;10.89846971;4.892902489
300;2024-01-04 03:15:00;54.23897546;26.06462453;12.88093517;5.885382852
301;2024-01-04 03:30:00;59.35960281;27.90128778;14.19982228;6.745739038
302;2024-01-04 03:45:00;54.70482807;24.8169959;14.25805386;6.58978546
303;2024-01-04 04:00:00;61.89153387;28.03851834;14.57454524;6.606939281
304;2024-01-04 04:15:00;72.52305873;27.40917676;16.80182408;6.930961887
305;2024-01-04 04:30:00;54.38227578;24.55343932;15.86316681;6.49532701
306;2024-01-04 04:45:00;59.53394982;25.02621371;14.2395282;6.197456628
307;2024-01-04 05:00:00;51.12685596;22.18628909;13.83260072;5.901562849
308;2024-01-04 05:15:00;56.05174995;24.29345436;13.39732574;5.809967931
309;2024-01-04 05:30:00;53.97264362;21.96478776;13.7530492;5.782280266
310;2024-01-04 05:45:00;62.17533947;25.40608221;14.51849789;5.921358746
311;2024-01-04 06:00:00;54.0068704;17.85750218;14.52277623;5.407948048
312;2024-01-04 06:15:00;73.97081532;22.10071585;15.99721071;4.994777254
313;2024-01-04 06:30:00;98.2606112;32.73169983;21.52892832;6.85405196
314;2024-01-04 06:45:00;103.6006123;35.5002157;25.23265294;8.528989441
315;2024-01-04 07:00:00;112.4905196;35.45125796;27.01139149;8.868934207
316;2024-01-04 07:15:00;119.2622993;40.00826493;28.96910236;9.432440361
317;2024-01-04 07:30:00;124.0063831;41.32025159;30.40858529;10.16606457
318;2024-01-04 07:45:00;119.2249836;38.70161614;30.40392084;10.00273347
319;2024-01-04 08:00:00;111.708533;34.32587559;28.86668957;9.128436466
320;2024-01-04 08:15:00;115.2265872;37.99097453;28.36689002;9.039606266
321;2024-01-04 08:30:00;126.7895225;36.78993449;30.25201371;9.347613628
322;2024-01-04 08:45:00;106.946216;35.29168641;29.21696731;9.010202613
323;2024-01-04 09:00:00;113.9774941;38.31977831;27.61546377;9.201433091
324;2024-01-04 09:15:00;113.9827634;40.75309929;28.49503219;9.884109701
325;2024-01-04 09:30:00;116.2489784;42.07235298;28.77896773;10.35318153
326;2024-01-04 09:45:00;113.16322;40.39241641;28.67652481;10.30809617
327;2024-01-04 10:00:00;104.7325565;37.19965455;27.23697207;9.699008869
328;2024-01-04 10:15:00;114.5587753;34.17327954;27.41141648;8.921616761
329;2024-01-04 10:30:00;100.519959;28.99710878;26.88484179;7.89629854
330;2024-01-04 10:45:00;111.4939043;36.33794613;26.50173291;8.166881864
331;2024-01-04 11:00:00;103.7679274;38.75450777;26.90772897;9.386556738
332;2024-01-04 11:15:00;101.4758742;37.78701735;25.65547521;9.56769064
333;2024-01-04 11:30:00;106.0908398;40.66250143;25.94583925;9.806189848
334;2024-01-04 11:45:00;110.7823568;40.60625949;27.10914957;10.15859511
335;2024-01-04 12:00:00;108.3962584;38.19227005;27.3973269;9.849816191
336;2024-01-04 12:15:00;110.3763349;33.84668492;27.34657416;9.004869371
337;2024-01-04 12:30:00;100.3111803;34.1790052;26.3359394;8.503211265
338;2024-01-04 12:45:00;93.4418953;31.57333766;24.21913445;8.219042857
339;2024-01-04 13:00:00;96.61455019;32.05900947;23.75705569;7.954043391
340;2024-01-04 13:15:00;88.71207021;33.69753137;23.16582755;8.219567605
341;2024-01-04 13:30:00;119.4999797;44.42679112;26.02650624;9.765540311
342;2024-01-04 13:45:00;121.6567532;40.09016142;30.14459161;10.56461907
343;2024-01-04 14:00:00;113.39427;36.69357414;29.3813779;9.597966945
344;2024-01-04 14:15:00;90.67908859;32.62463816;25.50916982;8.664776538
345;2024-01-04 14:30:00;81.01153753;31.00086349;21.46132827;7.953187707
346;2024-01-04 14:45:00;81.40629333;30.78874063;20.30222886;7.723700515
347;2024-01-04 15:00:00;86.81582719;30.13965276;21.02776507;7.616049174
348;2024-01-04 15:15:00;68.40188005;25.77705879;19.4022134;6.989588944
349;2024-01-04 15:30:00;70.87170723;27.83670421;17.40919841;6.701720375
350;2024-01-04 15:45:00;78.42871647;31.94889146;18.66255296;7.473199459
351;2024-01-04 16:00:00;75.55782922;30.94568876;19.24831821;7.861822527
352;2024-01-04 16:15:00;54.29942395;25.28078938;16.23215665;7.028309767
353;2024-01-04 16:30:00;59.63035043;25.12523411;14.2412218;6.300752936
354;2024-01-04 16:45:00;59.85285148;25.15770982;14.93540024;6.285367992
355;2024-01-04 17:00:00;61.6231443;27.67328159;15.18449947;6.603873927
356;2024-01-04 17:15:00;60.81589289;28.04434817;15.30487965;6.964703721
357;2024-01-04 17:30:00;75.49065861;30.72567057;17.03831894;7.346252343
358;2024-01-04 17:45:00;64.3751132;28.85528059;17.48322148;7.447618895
359;2024-01-04 18:00:00;57.80356152;26.53302486;15.27233434;6.923538181
360;2024-01-04 18:15:00;67.15040143;23.92876415;15.61924537;6.307723626
361;2024-01-04 18:30:00;68.60306751;25.62946519;16.96918362;6.194778667
362;2024-01-04 18:45:00;56.55478805;20.8281849;15.64473194;5.807206261
363;2024-01-04 19:00:00;53.51448286;19.24210008;13.75865886;5.008785622
364;2024-01-04 19:15:00;53.22797119;25.13059072;13.34280676;5.54658635
365;2024-01-04 19:30:00;62.60856774;29.13866025;14.47956737;6.783656371
366;2024-01-04 19:45:00;66.61221502;30.83124926;16.15259785;7.496238688
367;2024-01-04 20:00:00;70.92351935;30.15841712;17.1919668;7.623708297
368;2024-01-04 20:15:00;75.66313043;33.48392997;18.32333122;7.955293385
369;2024-01-04 20:30:00;74.35957868;32.95567258;18.75283864;8.304950318
370;2024-01-04 20:45:00;67.97929537;32.63408817;17.79235926;8.198720094
371;2024-01-04 21:00:00;68.2923512;31.71564387;17.03395582;8.043716506
372;2024-01-04 21:15:00;71.30962286;34.23734967;17.45024676;8.244124193
373;2024-01-04 21:30:00;82.8206824;37.60411398;19.26628816;8.980182956
374;2024-01-04 21:45:00;79.90133886;35.34590828;20.34025266;9.118752782
375;2024-01-04 22:00:00;72.33846227;29.44761553;19.02997514;8.099190476
376;2024-01-04 22:15:00;58.48672629;25.06539409;16.35314857;6.814126203
377;2024-01-04 22:30:00;53.43479902;20.00411222;13.99019066;5.63368829
378;2024-01-04 22:45:00;70.60392787;29.26063003;15.50484086;6.158092781
379;2024-01-04 23:00:00;66.9003803;30.10794684;17.18803852;7.421072108
380;2024-01-04 23:15:00;54.08175338;24.75813358;15.12276671;6.858260052
381;2024-01-04 23:30:00;52.84337254;23.34708851;13.36564074;6.013152761
382;2024-01-04 23:45:00;60.92366444;26.99358671;14.22087962;6.292584403
383;2024-01-05 00:00:00;65.47200364;28.61199349;15.79945851;6.950697525
384;2024-01-05 00:15:00;56.89713283;27.09190868;15.29614206;6.962987772
385;2024-01-05 00:30:00;69.75757985;30.38907375;15.83183908;7.185122804
386;2024-01-05 00:45:00;66.02373708;28.96258176;16.97266462;7.418956939
387;2024-01-05 01:00:00;51.78797632;25.0427655;14.72646418;6.750668408
388;2024-01-05 01:15:00;59.89876848;27.73868337;13.9608431;6.597681109
389;2024-01-05 01:30:00;54.24726403;25.27990168;14.26825406;6.627323132
390;2024-01-05 01:45:00;58.64382;27.6083479;14.1113855;6.611031198
391;2024-01-05 02:00:00;54.47582888;21.02125921;14.13995611;6.078700889
392;2024-01-05 02:15:00;29.44525627;8.590108116;10.49013564;3.701420916
393;2024-01-05 02:30:00;27.42054253;6.546816899;7.10822485;1.892115627
394;2024-01-05 02:45:00;59.46450302;25.27805863;10.86063069;3.978109441
395;2024-01-05 03:00:00;39.09159101;14.5744774;12.31951175;4.981567003
396;2024-01-05 03:15:00;49.43070778;21.46174901;11.06528735;4.504528301
397;2024-01-05 03:30:00;47.9796016;23.91606145;12.17628867;5.672226308
398;2024-01-05 03:45:00;52.30414731;24.81372441;12.53546861;6.091223233
399;2024-01-05 04:00:00;62.25389309;25.51182662;14.31975505;6.290693879
400;2024-01-05 04:15:00;46.00660045;23.2338455;13.53256169;6.093209015
401;2024-01-05 04:30:00;57.06992974;26.18149617;12.88456627;6.176917708
402;2024-01-05 04:45:00;56.18737403;24.67318537;14.15716297;6.356835193
403;2024-01-05 05:00:00;54.93240581;25.10306712;13.88997248;6.222031561
404;2024-01-05 05:15:00;56.70623304;23.73723695;13.95482986;6.105038008
405;2024-01-05 05:30:00;41.81912266;12.57833848;12.31566946;4.539446928
406;2024-01-05 05:45:00;63.19051649;21.06009724;13.12620489;4.204804465
407;2024-01-05 06:00:00;73.68528593;26.44304006;17.1094753;5.937892163
