;Datetime;inv1_P;inv1_Q
0;2024-01-01 00:15:00;0;0
1;2024-01-01 00:30:00;0;0
2;2024-01-01 00:45:00;0;0
3;2024-01-01 01:00:00;0;0
4;2024-01-01 01:15:00;0;0
5;2024-01-01 01:30:00;0;0
6;2024-01-01 01:45:00;0;0
7;2024-01-01 02:00:00;0;0
8;2024-01-01 02:15:00;0;0
9;2024-01-01 02:30:00;0;0
10;2024-01-01 02:45:00;0;0
11;2024-01-01 03:00:00;0;0
12;2024-01-01 03:15:00;0;0
13;2024-01-01 03:30:00;0;0
14;2024-01-01 03:45:00;0;0
15;2024-01-01 04:00:00;0;0
16;2024-01-01 04:15:00;0;0
17;2024-01-01 04:30:00;0;0
18;2024-01-01 04:45:00;0;0
19;2024-01-01 05:00:00;0;0
20;2024-01-01 05:15:00;0;0
21;2024-01-01 05:30:00;0;0
22;2024-01-01 05:45:00;0;0
23;2024-01-01 06:00:00;0;0
24;2024-01-01 06:15:00;0;0
25;2024-01-01 06:30:00;0;0
26;2024-01-01 06:45:00;0;0
27;2024-01-01 07:00:00;0;0
28;2024-01-01 07:15:00;0;0
29;2024-01-01 07:30:00;0;0
30;2024-01-01 07:45:00;0;0
31;2024-01-01 08:00:00;0;0
32;2024-01-01 08:15:00;0;0
33;2024-01-01 08:30:00;0;0
34;2024-01-01 08:45:00;0;0
35;2024-01-01 09:00:00;0;0
36;2024-01-01 09:15:00;0;0
37;2024-01-01 09:30:00;0;0
38;2024-01-01 09:45:00;0;0
39;2024-01-01 10:00:00;0;0
40;2024-01-01 10:15:00;0;0
41;2024-01-01 10:30:00;0;0
42;2024-01-01 10:45:00;0;0
43;2024-01-01 11:00:00;0;0
44;2024-01-01 11:15:00;0;0
45;2024-01-01 11:30:00;0;0
46;2024-01-01 11:45:00;0;0
47;2024-01-01 12:00:00;0;0
48;2024-01-01 12:15:00;0;0
49;2024-01-01 12:30:00;0;0
50;2024-01-01 12:45:00;0;0
51;2024-01-01 13:00:00;0;0
52;2024-01-01 13:15:00;0;0
53;2024-01-01 13:30:00;0;0
54;2024-01-01 13:45:00;0;0
55;2024-01-01 14:00:00;0;0
56;2024-01-01 14:15:00;0;0
57;2024-01-01 14:30:00;0;0
58;2024-01-01 14:45:00;0;0
59;2024-01-01 15:00:00;0;0
60;2024-01-01 15:15:00;0;0
61;2024-01-01 15:30:00;0;0
62;2024-01-01 15:45:00;0;0
63;2024-01-01 16:00:00;0;0
64;2024-01-01 16:15:00;0;0
65;2024-01-01 16:30:00;0;0
66;2024-01-01 16:45:00;0;0
67;2024-01-01 17:00:00;0;0
68;2024-01-01 17:15:00;0;0
69;2024-01-01 17:30:00;0;0
70;2024-01-01 17:45:00;0;0
71;2024-01-01 18:00:00;0;0
72;2024-01-01 18:15:00;0;0
73;2024-01-01 18:30:00;0;0
74;2024-01-01 18:45:00;0;0
75;2024-01-01 19:00:00;0;0
76;2024-01-01 19:15:00;0;0
77;2024-01-01 19:30:00;0;0
78;2024-01-01 19:45:00;0;0
79;2024-01-01 20:00:00;0;0
80;2024-01-01 20:15:00;0;0
81;2024-01-01 20:30:00;0;0
82;2024-01-01 20:45:00;0;0
83;2024-01-01 21:00:00;0;0
84;2024-01-01 21:15:00;0;0
85;2024-01-01 21:30:00;0;0
86;2024-01-01 21:45:00;0;0
87;2024-01-01 22:00:00;0;0
88;2024-01-01 22:15:00;0;0
89;2024-01-01 22:30:00;0;0
90;2024-01-01 22:45:00;0;0
91;2024-01-01 23:00:00;0;0
92;2024-01-01 23:15:00;0;0
93;2024-01-01 23:30:00;0;0
94;2024-01-01 23:45:00;0;0
95;2024-01-02 00:00:00;0;0
96;2024-01-02 00:15:00;0;0
97;2024-01-02 00:30:00;0;0
98;2024-01-02 00:45:00;0;0
99;2024-01-02 01:00:00;0;0
100;2024-01-02 01:15:00;0;0
101;2024-01-02 01:30:00;0;0
102;2024-01-02 01:45:00;0;0
103;2024-01-02 02:00:00;0;0
104;2024-01-02 02:15:00;0;0
105;2024-01-02 02:30:00;0;0
106;2024-01-02 02:45:00;0;0
107;2024-01-02 03:00:00;0;0
108;2024-01-02 03:15:00;0;0
109;2024-01-02 03:30:00;0;0
110;2024-01-02 03:45:00;0;0
111;2024-01-02 04:00:00;0;0
112;2024-01-02 04:15:00;0;0
113;2024-01-02 04:30:00;0;0
114;2024-01-02 04:45:00;0;0
115;2024-01-02 05:00:00;0;0
116;2024-01-02 05:15:00;0;0
117;2024-01-02 05:30:00;0;0
118;2024-01-02 05:45:00;0;0
119;2024-01-02 06:00:00;0;0
120;2024-01-02 06:15:00;0;0
121;2024-01-02 06:30:00;0;0
122;2024-01-02 06:45:00;0;0
123;2024-01-02 07:00:00;0;0
124;2024-01-02 07:15:00;0;0
